Date : 2024-05-29 16:29:59
Directory : c:\xampp\htdocs\surtido_cf
Total : 101 files,  13884 codes, 758 comments, 943 blanks, all 15585 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          4 |     10,728 |          0 |          4 |     10,732 |
| PHP        |         80 |      2,677 |        749 |        746 |      4,172 |
| CSS        |          3 |        262 |          6 |        117 |        385 |
| YAML       |          5 |         73 |          0 |         25 |         98 |
| Markdown   |          2 |         64 |          0 |         36 |        100 |
| JavaScript |          6 |         49 |          1 |         14 |         64 |
| XML        |          1 |         31 |          2 |          1 |         34 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                  | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                     |        101 |     13,884 |        758 |        943 |     15,585 |
| . (Files)                                                                                             |         11 |     10,868 |          3 |         49 |     10,920 |
| .github                                                                                               |          4 |         64 |          0 |         24 |         88 |
| .github\workflows                                                                                     |          4 |         64 |          0 |         24 |         88 |
| app                                                                                                   |         18 |        444 |        128 |        130 |        702 |
| app\Http                                                                                              |         14 |        385 |         98 |        110 |        593 |
| app\Http\Controllers                                                                                  |         12 |        319 |         72 |         92 |        483 |
| app\Http\Controllers (Files)                                                                          |          3 |         91 |         12 |         28 |        131 |
| app\Http\Controllers\Auth                                                                             |          9 |        228 |         60 |         64 |        352 |
| app\Http\Requests                                                                                     |          2 |         66 |         26 |         18 |        110 |
| app\Http\Requests (Files)                                                                             |          1 |         15 |          5 |          4 |         24 |
| app\Http\Requests\Auth                                                                                |          1 |         51 |         21 |         14 |         86 |
| app\Models                                                                                            |          1 |         25 |         16 |          7 |         48 |
| app\Providers                                                                                         |          1 |         12 |          8 |          5 |         25 |
| app\View                                                                                              |          2 |         22 |          6 |          8 |         36 |
| app\View\Components                                                                                   |          2 |         22 |          6 |          8 |         36 |
| bootstrap                                                                                             |          2 |         18 |          2 |          5 |         25 |
| config                                                                                                |         10 |        464 |        553 |        190 |      1,207 |
| database                                                                                              |          5 |        148 |         37 |         28 |        213 |
| database\factories                                                                                    |          1 |         25 |         14 |          6 |         45 |
| database\migrations                                                                                   |          3 |        109 |         18 |         17 |        144 |
| database\seeders                                                                                      |          1 |         14 |          5 |          5 |         24 |
